sku_id,forecast_demand,forecast_lower_80,forecast_upper_80,on_hand_units,on_order_units,available_inventory,inventory_coverage_ratio,weekly_forecast,coverage_weeks,stockout_shortfall_units,stockout_risk,overstock_excess_units,overstock_risk,risk_level,unit_price,rupee_value_at_risk,risk_priority,recommended_action,grid_check
S001_P0017,11534.128347397393,6847.732455316561,15854.351101696233,95,78,173,0.01499896609344012,961.177362283116,0.17998759312128143,11361.128347397393,True,0.0,False,Reorder Now,55.53049247606019,630889.052214705,2,Reorder inventory,True
S004_P0008,11508.660162432807,6822.264270351974,15828.882916731647,251,25,276,0.023981940217587986,959.0550135360672,0.2877832826110558,11232.660162432807,True,0.0,False,Reorder Now,56.100793433652534,630161.1474830608,2,Reorder inventory,True
S003_P0013,11519.604147073906,6833.208254993073,15839.826901372746,144,123,267,0.02317787977704257,959.9670122561588,0.27813455732451087,11252.604147073906,True,0.0,False,Reorder Now,55.95893296853625,629683.7211875818,2,Reorder inventory,True
S001_P0009,11492.393931281376,6805.998039200545,15812.616685580217,143,20,163,0.014183293835440765,957.6994942734481,0.17019952602528918,11329.393931281376,True,0.0,False,Reorder Now,55.40010943912449,627649.6636719411,2,Reorder inventory,True
S003_P0018,11554.361583870312,6867.96569178948,15874.584338169152,55,58,113,0.009779856652378443,962.8634653225259,0.11735827982854133,11441.361583870312,True,0.0,False,Reorder Now,54.79538987688098,626933.8687105422,2,Reorder inventory,True
S002_P0002,11449.57802329658,6763.182131215748,15769.800777595421,165,107,272,0.02375633402790554,954.1315019413818,0.28507600833486646,11177.57802329658,True,0.0,False,Reorder Now,56.036757865937076,626355.23321909,2,Reorder inventory,True
S001_P0004,11601.552815652158,6915.156923571325,15921.775569950998,237,102,339,0.02922022641164383,966.7960679710131,0.35064271693972593,11262.552815652158,True,0.0,False,Reorder Now,55.605991792065666,626265.4194248599,2,Reorder inventory,True
S004_P0017,11578.387680957385,6891.991788876553,15898.610435256225,93,79,172,0.01485526350813793,964.8656400797821,0.17826316209765516,11406.387680957385,True,0.0,False,Reorder Now,54.87198358413132,625891.1175837313,2,Reorder inventory,True
S001_P0014,11558.386882497558,6871.990990416725,15878.609636796398,246,55,301,0.026041696221104457,963.1989068747965,0.3125003546532535,11257.386882497558,True,0.0,False,Reorder Now,55.52217510259918,625034.6056877325,2,Reorder inventory,True
S005_P0011,11375.880195982678,6689.484303901844,15696.102950281518,336,86,422,0.03709603061300054,947.9900163318898,0.4451523673560065,10953.880195982678,True,0.0,False,Reorder Now,57.01518467852257,624537.5023203634,2,Reorder inventory,True
S003_P0006,11325.344228800022,6638.948336719191,15645.566983098863,94,152,246,0.021721194078536628,943.7786857333352,0.2606543289424395,11079.344228800022,True,0.0,False,Reorder Now,56.278796169630645,623532.1555458101,2,Reorder inventory,True
S002_P0015,11505.649837768746,6819.253945687914,15825.872592067586,113,45,158,0.013732383848615406,958.8041531473955,0.1647886061833849,11347.649837768746,True,0.0,False,Reorder Now,54.904705882352935,623039.376798623,2,Reorder inventory,True
S005_P0013,11440.621401256074,6754.225509175242,15760.844155554914,88,71,159,0.013897846491322864,953.3851167713395,0.16677415789587435,11281.621401256074,True,0.0,False,Reorder Now,55.07261285909713,621308.3678542806,2,Reorder inventory,True
S005_P0018,11570.116748238655,6883.720856157823,15890.339502537496,223,51,274,0.023681697078960905,964.1763956865547,0.28418036494753085,11296.116748238655,True,0.0,False,Reorder Now,55.0003830369357,621290.7479830707,2,Reorder inventory,True
S005_P0014,11338.729943566883,6652.33405148605,15658.952697865723,276,34,310,0.027339922684716637,944.8941619639069,0.32807907221659965,11028.729943566883,True,0.0,False,Reorder Now,56.296443228454166,620878.2691499655,2,Reorder inventory,True
S003_P0020,11404.294090291492,6717.898198210661,15724.516844590335,109,129,238,0.02086933203543129,950.3578408576244,0.2504319844251755,11166.294090291492,True,0.0,False,Reorder Now,55.59103967168263,620745.8977590697,2,Reorder inventory,True
S004_P0004,11392.723118784716,6706.327226703883,15712.945873083556,336,83,419,0.03677786211701558,949.3935932320596,0.441334345404187,10973.723118784716,True,0.0,False,Reorder Now,56.54269493844049,620483.8786443559,2,Reorder inventory,True
S002_P0006,11601.975973045484,6915.580080964653,15922.198727344325,104,52,156,0.013445985439241559,966.8313310871237,0.16135182527089872,11445.975973045484,True,0.0,False,Reorder Now,54.17949384404925,620137.1847707534,2,Reorder inventory,True
S005_P0017,11432.739301664902,6746.34340958407,15752.962055963744,59,114,173,0.015131981534364798,952.7282751387419,0.18158377841237758,11259.739301664902,True,0.0,False,Reorder Now,55.03718194254446,619704.3205713497,2,Reorder inventory,True
S002_P0010,11492.75934774359,6806.363455662757,15812.98210204243,50,148,198,0.01722823858126586,957.7299456452992,0.20673886297519034,11294.75934774359,True,0.0,False,Reorder Now,54.85242134062928,619544.8986834425,2,Reorder inventory,True
S005_P0012,11232.19283397293,6545.796941892097,15552.41558827177,120,189,309,0.027510211458033156,936.0160694977441,0.3301225374963979,10923.19283397293,True,0.0,False,Reorder Now,56.713556771545825,619493.1169160663,2,Reorder inventory,True
S004_P0009,11450.614575925265,6764.218683844432,15770.837330224105,163,114,277,0.024190841300552383,954.2178813271054,0.2902900956066286,11173.614575925265,True,0.0,False,Reorder Now,55.32694938440493,618202.0080830662,2,Reorder inventory,True
S005_P0015,11460.276235388894,6773.880343308062,15780.498989687734,273,170,443,0.03865526370403123,955.0230196157412,0.4638631644483748,11017.276235388894,True,0.0,False,Reorder Now,56.107701778385774,618154.0494252967,2,Reorder inventory,True
S003_P0003,11456.582147940366,6770.186255859532,15776.804902239204,239,77,316,0.027582397255957323,954.7151789950304,0.3309887670714879,11140.582147940366,True,0.0,False,Reorder Now,55.43459644322846,617573.6755137094,2,Reorder inventory,True
S003_P0001,11516.09377329093,6829.697881210097,15836.31652758977,469,38,507,0.044025344876565356,959.6744811075774,0.5283041385187842,11009.09377329093,True,0.0,False,Reorder Now,56.07571819425444,617342.8400051835,2,Reorder inventory,True
S004_P0003,11381.713268001302,6695.317375920469,15701.936022300142,84,56,140,0.012300432870119636,948.4761056667752,0.14760519444143563,11241.713268001302,True,0.0,False,Reorder Now,54.895294117647055,617117.1562331867,2,Reorder inventory,True
S002_P0013,11599.698880415848,6913.3029883350155,15919.921634714688,314,122,436,0.03758718260662034,966.6415733679873,0.45104619127944406,11163.698880415848,True,0.0,False,Reorder Now,55.17993160054719,616012.1406304517,2,Reorder inventory,True
S005_P0019,11499.92611210778,6813.530220026948,15820.14886640662,398,101,499,0.04339158314022768,958.3271760089816,0.5206989976827322,11000.92611210778,True,0.0,False,Reorder Now,55.97362517099863,615761.7147329721,2,Reorder inventory,True
S005_P0008,11539.471969240449,6853.076077159617,15859.69472353929,287,114,401,0.034750290227222126,961.6226641033708,0.4170034827266655,11138.471969240449,True,0.0,False,Reorder Now,55.26083447332421,615521.255777958,2,Reorder inventory,True
S001_P0011,11709.072790459817,7022.676898378984,16029.295544758657,223,168,391,0.033392908814998096,975.7560658716515,0.40071490577997715,11318.072790459817,True,0.0,False,Reorder Now,54.38160054719562,615494.9134548694,2,Reorder inventory,True
S002_P0005,11264.508154012194,6578.112261931361,15584.730908311034,305,29,334,0.02965065100343825,938.7090128343494,0.355807812041259,10930.508154012194,True,0.0,False,Reorder Now,56.30813953488372,615476.5783233029,2,Reorder inventory,True
S001_P0019,11577.738058725528,6891.342166644697,15897.960813024369,330,100,430,0.03714024257751554,964.811504893794,0.4456829109301865,11147.738058725528,True,0.0,False,Reorder Now,55.11626538987688,614421.6893415471,2,Reorder inventory,True
S005_P0010,11541.91061966469,6855.514727583858,15862.13337396353,359,121,480,0.041587568628559064,961.8258849720575,0.4990508235427088,11061.91061966469,True,0.0,False,Reorder Now,55.52404924760602,614202.0700188783,2,Reorder inventory,True
S003_P0008,11420.022498829401,6733.626606748569,15740.245253128242,90,20,110,0.009632205191476239,951.6685415691168,0.11558646229771485,11310.022498829401,True,0.0,False,Reorder Now,54.294993160054716,614077.5942140073,2,Reorder inventory,True
S004_P0001,11521.858577153125,6835.462685072294,15842.081331451967,280,20,300,0.02603746591672933,960.1548814294271,0.312449591000752,11221.858577153125,True,0.0,False,Reorder Now,54.69290013679891,613755.9905095162,2,Reorder inventory,True
S005_P0006,11462.448988351765,6776.053096270933,15782.671742650606,338,68,406,0.0354200049581534,955.2040823626471,0.42504005949784085,11056.448988351765,True,0.0,False,Reorder Now,55.39536251709987,612475.9998615681,2,Reorder inventory,True
S001_P0006,11422.098904945904,6735.703012865071,15742.321659244744,320,25,345,0.030204606252412235,951.8415754121587,0.3624552750289468,11077.098904945904,True,0.0,False,Reorder Now,55.2903830369357,612457.04139248,2,Reorder inventory,True
S001_P0013,11436.122535214141,6749.726643133309,15756.345289512981,128,144,272,0.023784285203525657,953.0102112678451,0.2854114224423079,11164.122535214141,True,0.0,False,Reorder Now,54.802900136798904,611826.2924123268,2,Reorder inventory,True
S001_P0016,11332.67077612327,6646.274884042437,15652.89353042211,313,74,387,0.03414905520906579,944.3892313436058,0.4097886625087895,10945.67077612327,True,0.0,False,Reorder Now,55.88120383036936,611657.2597006616,2,Reorder inventory,True
S005_P0009,11447.686336109975,6761.290444029142,15767.909090408815,358,45,403,0.035203620030083996,953.9738613424979,0.42244344036100795,11044.686336109975,True,0.0,False,Reorder Now,55.371614227086184,611562.1110622515,2,Reorder inventory,True
S001_P0018,11469.300810148932,6782.9049180680995,15789.523564447773,368,41,409,0.03566041267642792,955.775067512411,0.42792495211713505,11060.300810148932,True,0.0,False,Reorder Now,55.28614227086183,611481.3641484223,2,Reorder inventory,True
S002_P0009,11605.259001329796,6918.863109248963,15925.481755628636,412,172,584,0.05032201348828854,967.104916777483,0.6038641618594625,11021.259001329796,True,0.0,False,Reorder Now,55.47526675786593,611407.2831063014,2,Reorder inventory,True
S005_P0005,11520.1067973642,6833.7109052833675,15840.32955166304,150,42,192,0.016666512158023533,960.00889978035,0.1999981458962824,11328.1067973642,True,0.0,False,Reorder Now,53.966114911080716,611333.913151551,2,Reorder inventory,True
S002_P0007,11723.002046824942,7036.6061547441095,16043.224801123783,380,167,547,0.046660403010690375,976.9168372354119,0.5599248361282845,11176.002046824942,True,0.0,False,Reorder Now,54.6489876880985,610757.1982591,2,Reorder inventory,True
S003_P0012,11403.513982632998,6717.118090552166,15723.736736931838,125,34,159,0.01394307055194998,950.2928318860831,0.16731684662339977,11244.513982632998,True,0.0,False,Reorder Now,54.289179206566345,610455.4346939039,2,Reorder inventory,True
S001_P0003,11506.353540680506,6819.957648599673,15826.576294979346,181,98,279,0.024247473277576648,958.8627950567088,0.2909696793309198,11227.353540680506,True,0.0,False,Reorder Now,54.33708618331054,610061.6769504534,2,Reorder inventory,True
S003_P0019,11342.950578586704,6656.554686505871,15663.173332885544,54,195,249,0.021951960230706093,945.245881548892,0.2634235227684731,11093.950578586704,True,0.0,False,Reorder Now,54.95452804377565,609662.8181872042,2,Reorder inventory,True
S002_P0014,11347.22447068065,6660.828578599818,15667.44722497949,351,58,409,0.03604405650534087,945.6020392233876,0.4325286780640904,10938.22447068065,True,0.0,False,Reorder Now,55.67681258549931,609005.473872209,2,Reorder inventory,True
S002_P0016,11330.439645836888,6644.0437537560565,15650.662400135729,307,66,373,0.0329201700603957,944.2033038197407,0.3950420407247484,10957.439645836888,True,0.0,False,Reorder Now,55.531792065663474,608486.2599846713,2,Reorder inventory,True
S003_P0015,11387.924752911189,6701.528860830357,15708.14750721003,118,68,186,0.016333090008559398,948.9937294092657,0.1959970801027128,11201.924752911189,True,0.0,False,Reorder Now,54.266142270861835,607885.2423489674,2,Reorder inventory,True
S003_P0009,11524.306010080518,6837.910117999685,15844.528764379358,186,137,323,0.028027718087099224,960.3588341733765,0.33633261704519063,11201.306010080518,True,0.0,False,Reorder Now,54.2072366621067,607191.8458131128,2,Reorder inventory,True
S004_P0016,11574.1593370104,6887.763444929567,15894.38209130924,478,77,555,0.047951646753755184,964.5132780842,0.5754197610450622,11019.1593370104,True,0.0,False,Reorder Now,55.0512585499316,606618.5896646525,2,Reorder inventory,True
S002_P0003,11450.028454300553,6763.63256221972,15770.251208599393,393,39,432,0.03772916388148745,954.1690378583794,0.4527499665778494,11018.028454300553,True,0.0,False,Reorder Now,55.012941176470584,606134.1512371154,2,Reorder inventory,True
S001_P0020,11423.732227442666,6737.336335361835,15743.954981741508,330,186,516,0.04516912596746961,951.9776856202221,0.5420295116096354,10907.732227442666,True,0.0,False,Reorder Now,55.541367989056084,605830.3695704795,2,Reorder inventory,True
S001_P0015,11390.94352491491,6704.547632834077,15711.16627921375,276,39,315,0.027653547689970928,949.2452937429092,0.33184257227965114,11075.94352491491,True,0.0,False,Reorder Now,54.64704514363885,605267.5858144194,2,Reorder inventory,True
S002_P0018,11478.797542059203,6792.40164997837,15799.020296358043,282,77,359,0.0312750528689609,956.566461838267,0.3753006344275308,11119.797542059203,True,0.0,False,Reorder Now,54.40798905608755,605005.8229742664,2,Reorder inventory,True
S003_P0002,11480.230015972704,6793.834123891871,15800.452770271544,145,135,280,0.0243897552235826,956.685834664392,0.2926770626829912,11200.230015972704,True,0.0,False,Reorder Now,53.98410396716826,604634.381638469,2,Reorder inventory,True
S003_P0014,11525.781534240075,6839.385642159244,15846.004288538916,499,194,693,0.06012607456954469,960.4817945200062,0.7215128948345363,10832.781534240075,True,0.0,False,Reorder Now,55.805362517099866,604527.3005868127,2,Reorder inventory,True
S003_P0005,11506.171308254803,6819.77541617397,15826.394062553643,321,84,405,0.03519850253832422,958.8476090212336,0.42238203045989064,11101.171308254803,True,0.0,False,Reorder Now,54.43176470588236,604256.3446106177,2,Reorder inventory,True
S002_P0004,11360.794929281717,6674.399037200885,15681.017683580558,145,190,335,0.029487373206302587,946.7329107734764,0.35384847847563106,11025.794929281717,True,0.0,False,Reorder Now,54.794582763337885,604153.8327841182,2,Reorder inventory,True
S005_P0007,11500.275965211142,6813.880073130309,15820.498719509982,397,26,423,0.03678172604549615,958.3563304342618,0.44138071254595374,11077.275965211142,True,0.0,False,Reorder Now,54.504678522571815,603763.3653896448,2,Reorder inventory,True
S001_P0012,11589.602725317913,6903.20683323708,15909.825479616753,318,144,462,0.039863316366379326,965.8002271098261,0.4783597963965519,11127.602725317913,True,0.0,False,Reorder Now,54.03842681258549,601318.1454716189,2,Reorder inventory,True
S004_P0010,11433.902897520133,6747.5070054393,15754.125651818973,360,86,446,0.039006803188501075,952.8252414600111,0.46808163826201293,10987.902897520133,True,0.0,False,Reorder Now,54.69833105335158,601019.9502706373,2,Reorder inventory,True
S005_P0016,11366.850856295381,6680.454964214549,15687.073610594221,250,42,292,0.02568873329047681,947.2375713579485,0.3082647994857217,11074.850856295381,True,0.0,False,Reorder Now,54.21588235294117,600432.8111012802,2,Reorder inventory,True
S003_P0017,11507.243609926276,6820.847717845443,15827.466364225116,328,165,493,0.042842579570900256,958.9369674938563,0.5141109548508032,11014.243609926276,True,0.0,False,Reorder Now,54.51012311901505,600387.775239906,2,Reorder inventory,True
S002_P0012,11477.219900189313,6790.824008108481,15797.442654488153,92,51,143,0.01245946328846076,956.4349916824427,0.1495135594615291,11334.219900189313,True,0.0,False,Reorder Now,52.90084815321477,599589.8458750598,2,Reorder inventory,True
S001_P0002,11341.00003227344,6654.604140192607,15661.22278657228,500,30,530,0.046733092186911414,945.0833360227866,0.560797106242937,10811.00003227344,True,0.0,False,Reorder Now,55.45325581395349,599505.1503943185,2,Reorder inventory,True
S005_P0001,11461.564313124774,6775.1684210439425,15781.787067423615,134,65,199,0.017362376946410598,955.1303594270645,0.2083485233569272,11262.564313124774,True,0.0,False,Reorder Now,53.20894664842681,599269.1836615319,2,Reorder inventory,True
S004_P0020,11485.761661364426,6799.365769283594,15805.984415663268,390,88,478,0.041616743764402386,957.1468051137022,0.4994009251728287,11007.761661364426,True,0.0,False,Reorder Now,54.33715458276334,598130.4470037746,2,Reorder inventory,True
S002_P0008,11233.14529053156,6546.749398450727,15553.3680448304,401,149,550,0.0489622439463679,936.09544087763,0.5875469273564148,10683.14529053156,True,0.0,False,Reorder Now,55.95887824897401,597816.8266289557,2,Reorder inventory,True
S002_P0017,11450.301329276186,6763.905437195353,15770.524083575026,115,116,231,0.02017414156685799,954.1917774396821,0.2420896988022959,11219.301329276186,True,0.0,False,Reorder Now,53.28300957592339,597798.140162993,2,Reorder inventory,True
S004_P0018,11475.800231024423,6789.40433894359,15796.022985323263,346,187,533,0.046445562772960546,956.3166859187019,0.5573467532755266,10942.800231024423,True,0.0,False,Reorder Now,54.595964432284546,597432.7322026045,2,Reorder inventory,True
S004_P0014,11379.402092645847,6693.006200565014,15699.624846944687,474,149,623,0.054748043432143546,948.2835077204873,0.6569765211857226,10756.402092645847,True,0.0,False,Reorder Now,55.50711354309165,597056.8322716416,2,Reorder inventory,True
S005_P0020,11472.528315405467,6786.132423324634,15792.751069704307,500,178,678,0.0590976968075618,956.0440262837889,0.7091723616907416,10794.528315405467,True,0.0,False,Reorder Now,55.280013679890565,596721.6729435803,2,Reorder inventory,True
S005_P0003,11476.302260986251,6789.906368905418,15796.525015285091,438,140,578,0.05036465464707339,956.3585217488543,0.6043758557648806,10898.302260986251,True,0.0,False,Reorder Now,54.74887824897401,596669.8236072544,2,Reorder inventory,True
S004_P0019,11394.538738625015,6708.142846544183,15714.761492923857,362,172,534,0.04686455610439551,949.5448948854179,0.562374673252746,10860.538738625015,True,0.0,False,Reorder Now,54.860109439124486,595810.3437688194,2,Reorder inventory,True
S003_P0004,11387.154873091185,6700.758981010353,15707.377627390026,428,151,579,0.05084676606693268,948.9295727575987,0.6101611928031921,10808.154873091185,True,0.0,False,Reorder Now,55.08593707250342,595377.3392089722,2,Reorder inventory,True
S002_P0001,11475.24887863348,6788.852986552647,15795.47163293232,267,144,411,0.03581621665437409,956.2707398861234,0.429794599852489,11064.24887863348,True,0.0,False,Reorder Now,53.701709986320104,594169.0844968426,2,Reorder inventory,True
S004_P0013,11477.105921650344,6790.710029569512,15797.328675949184,449,86,535,0.04661453886129771,956.425493470862,0.5593744663355725,10942.105921650344,True,0.0,False,Reorder Now,54.298139534883724,594135.9941392478,2,Reorder inventory,True
S001_P0005,11548.212611291807,6861.816719210975,15868.435365590649,404,122,526,0.045548174224440484,962.3510509409839,0.5465780906932858,11022.212611291807,True,0.0,False,Reorder Now,53.894103967168256,594032.2724211938,2,Reorder inventory,True
S003_P0010,11255.792897499665,6569.397005418831,15576.015651798505,321,169,490,0.043533139287668256,937.9827414583054,0.5223976714520191,10765.792897499665,True,0.0,False,Reorder Now,55.109726402188784,593299.9010838338,2,Reorder inventory,True
S001_P0007,11511.139349819783,6824.743457738951,15831.362104118623,499,175,674,0.05855197991418217,959.2616124849819,0.7026237589701861,10837.139349819783,True,0.0,False,Reorder Now,54.703529411764706,592829.7711622592,2,Reorder inventory,True
S004_P0015,11500.901907142497,6814.5060150616655,15821.124661441338,416,100,516,0.044866046521059744,958.4084922618748,0.5383925582527169,10984.901907142497,True,0.0,False,Reorder Now,53.92797537619699,592393.5195583199,2,Reorder inventory,True
S004_P0007,11447.21388967715,6760.817997596317,15767.43664397599,487,22,509,0.04446496806170497,953.9344908064292,0.5335796167404596,10938.21388967715,True,0.0,False,Reorder Now,54.06019151846785,591321.937745912,2,Reorder inventory,True
S001_P0001,11252.346575896529,6565.950683815697,15572.569330195369,417,160,577,0.051278193051392716,937.6955479913773,0.6153383166167127,10675.346575896529,True,0.0,False,Reorder Now,55.05737346101232,587756.5432548743,2,Reorder inventory,True
S002_P0019,11288.752569072665,6602.356676991833,15608.975323371506,440,77,517,0.045797797129188904,940.7293807560554,0.5495735655502669,10771.752569072665,True,0.0,False,Reorder Now,54.48688098495212,586919.2002304146,2,Reorder inventory,True
S005_P0002,11280.58230112045,6594.186409039617,15600.805055419289,405,186,591,0.0523909124745536,940.0485250933708,0.6286909496946432,10689.58230112045,True,0.0,False,Reorder Now,54.5744049247606,583377.5929779017,2,Reorder inventory,True
S003_P0016,11389.368307267696,6702.972415186863,15709.591061566536,321,187,508,0.044603000473330816,949.1140256056414,0.5352360056799698,10881.368307267696,True,0.0,False,Reorder Now,53.48001367989056,581935.725928604,2,Reorder inventory,True
S001_P0008,10841.652405712295,6155.2565136314615,15161.875160011135,253,76,329,0.03034592769517819,903.4710338093579,0.3641511323421383,10512.652405712295,True,0.0,False,Reorder Now,55.131668946648425,579580.0721829174,2,Reorder inventory,True
S004_P0006,11395.889209679652,6709.49331759882,15716.111963978494,494,50,544,0.04773651182374845,949.657434139971,0.5728381418849813,10851.889209679652,True,0.0,False,Reorder Now,52.69305061559508,571819.14740048,2,Reorder inventory,True
