date,sku_id,on_hand_units,on_order_units
2022-01-05,S002_P0001,250,70
2022-01-05,S002_P0002,182,81
2022-01-05,S002_P0003,274,91
2022-01-05,S002_P0004,148,142
2022-01-05,S002_P0005,241,36
2022-01-05,S002_P0006,131,176
2022-01-05,S002_P0007,80,176
2022-01-05,S002_P0008,483,111
2022-01-05,S002_P0009,228,183
2022-01-05,S002_P0010,202,55
2022-01-05,S002_P0011,440,41
2022-01-05,S002_P0012,264,29
2022-01-05,S002_P0013,296,20
2022-01-05,S002_P0014,201,187
2022-01-05,S002_P0015,70,28
2022-01-05,S002_P0016,176,174
2022-01-05,S002_P0017,399,100
2022-01-05,S002_P0018,294,63
2022-01-05,S002_P0019,222,27
2022-01-05,S002_P0020,123,110
2022-01-05,S003_P0001,388,55
2022-01-05,S003_P0002,191,177
2022-01-05,S003_P0003,370,68
2022-01-05,S003_P0004,463,77
2022-01-05,S003_P0005,140,149
2022-01-05,S003_P0006,314,135
2022-01-05,S003_P0007,79,69
2022-01-05,S003_P0008,411,83
2022-01-05,S003_P0009,117,64
2022-01-05,S003_P0010,109,73
2022-01-05,S003_P0011,438,85
2022-01-05,S003_P0012,480,174
2022-01-05,S003_P0013,284,168
2022-01-05,S003_P0014,444,86
2022-01-05,S003_P0015,278,81
2022-01-05,S003_P0016,202,195
2022-01-05,S003_P0017,192,175
2022-01-05,S003_P0018,168,74
2022-01-05,S003_P0019,308,35
2022-01-05,S003_P0020,286,70
2022-01-05,S004_P0001,201,103
2022-01-05,S004_P0002,135,49
2022-01-05,S004_P0003,258,172
2022-01-05,S004_P0004,357,97
2022-01-05,S004_P0005,387,199
2022-01-05,S004_P0006,378,169
2022-01-05,S004_P0007,249,124
2022-01-05,S004_P0008,448,184
2022-01-05,S004_P0009,348,97
2022-01-05,S004_P0010,412,75
2022-01-05,S004_P0011,344,30
2022-01-05,S004_P0012,475,172
2022-01-05,S004_P0013,400,86
2022-01-05,S004_P0014,424,37
2022-01-05,S004_P0015,441,118
2022-01-05,S004_P0016,421,27
2022-01-05,S004_P0017,278,56
2022-01-05,S004_P0018,319,176
2022-01-05,S004_P0019,353,35
2022-01-05,S004_P0020,149,42
2022-01-05,S005_P0001,371,115
2022-01-05,S005_P0002,98,94
2022-01-05,S005_P0003,318,171
2022-01-05,S005_P0004,200,192
2022-01-05,S005_P0005,299,117
2022-01-05,S005_P0006,392,125
2022-01-05,S005_P0007,399,77
2022-01-05,S005_P0008,192,116
2022-01-05,S005_P0009,149,23
2022-01-05,S005_P0010,406,195
2022-01-05,S005_P0011,91,155
2022-01-05,S005_P0012,228,147
2022-01-05,S005_P0013,68,54
2022-01-05,S005_P0014,358,36
2022-01-05,S005_P0015,361,75
2022-01-05,S005_P0016,371,98
2022-01-05,S005_P0017,231,107
2022-01-05,S005_P0018,269,109
2022-01-05,S005_P0019,444,196
2022-01-05,S005_P0020,243,107
2022-01-06,S001_P0001,198,155
2022-01-06,S001_P0002,262,114
2022-01-06,S001_P0003,91,187
2022-01-06,S001_P0004,466,123
2022-01-06,S001_P0005,129,195
2022-01-06,S001_P0006,57,110
2022-01-06,S001_P0007,76,49
2022-01-06,S001_P0008,445,84
2022-01-06,S001_P0009,277,134
2022-01-06,S001_P0010,204,143
2022-01-06,S001_P0011,200,49
2022-01-06,S001_P0012,59,88
2022-01-06,S001_P0013,185,189
2022-01-06,S001_P0014,201,86
2022-01-06,S001_P0015,388,37
2022-01-06,S001_P0016,481,164
2022-01-06,S001_P0017,379,23
2022-01-06,S001_P0018,423,90
2022-01-06,S001_P0019,66,126
2022-01-06,S001_P0020,98,60
2022-01-06,S002_P0001,131,82
2022-01-06,S002_P0002,117,47
2022-01-06,S002_P0003,71,197
2022-01-06,S002_P0004,72,118
2022-01-06,S002_P0005,106,64
2022-01-06,S002_P0006,377,89
2022-01-06,S002_P0007,469,80
2022-01-06,S002_P0008,392,123
2022-01-06,S002_P0009,415,91
2022-01-06,S002_P0010,350,165
2022-01-06,S002_P0011,104,155
2022-01-06,S002_P0012,223,198
2022-01-06,S002_P0013,467,191
2022-01-06,S002_P0014,372,26
2022-01-06,S002_P0015,224,185
2022-01-06,S002_P0016,270,39
2022-01-06,S002_P0017,207,43
2022-01-06,S002_P0018,120,198
2022-01-06,S002_P0019,300,139
2022-01-06,S002_P0020,246,47
2022-01-06,S003_P0001,223,89
2022-01-06,S003_P0002,110,21
2022-01-06,S003_P0003,210,82
2022-01-06,S003_P0004,400,135
2022-01-06,S003_P0005,457,182
2022-01-06,S003_P0006,285,56
2022-01-06,S003_P0007,108,67
2022-01-06,S003_P0008,463,175
2022-01-06,S003_P0009,60,89
2022-01-06,S003_P0010,148,91
2022-01-06,S003_P0011,266,183
2022-01-06,S003_P0012,111,32
2022-01-06,S003_P0013,479,82
2022-01-06,S003_P0014,268,62
2022-01-06,S003_P0015,490,53
2022-01-06,S003_P0016,385,183
2022-01-06,S003_P0017,409,200
2022-01-06,S003_P0018,221,61
2022-01-06,S003_P0019,67,84
2022-01-06,S003_P0020,283,138
2022-01-06,S004_P0001,185,69
2022-01-06,S004_P0002,162,71
2022-01-06,S004_P0003,405,119
2022-01-06,S004_P0004,50,180
2022-01-06,S004_P0005,384,25
2022-01-06,S004_P0006,488,190
2022-01-06,S004_P0007,129,164
2022-01-06,S004_P0008,226,115
2022-01-06,S004_P0009,207,104
2022-01-06,S004_P0010,490,142
2022-01-06,S004_P0011,293,88
2022-01-06,S004_P0012,483,199
2022-01-06,S004_P0013,389,81
2022-01-06,S004_P0014,126,136
2022-01-06,S004_P0015,304,102
2022-01-06,S004_P0016,69,190
2022-01-06,S004_P0017,220,122
2022-01-06,S004_P0018,427,167
2022-01-06,S004_P0019,411,145
2022-01-06,S004_P0020,261,118
2022-01-06,S005_P0001,333,37
2022-01-06,S005_P0002,387,23
2022-01-06,S005_P0003,186,139
2022-01-06,S005_P0004,313,44
2022-01-06,S005_P0005,121,87
2022-01-06,S005_P0006,475,50
2022-01-06,S005_P0007,87,187
2022-01-06,S005_P0008,279,79
2022-01-06,S005_P0009,87,44
2022-01-06,S005_P0010,94,176
2022-01-06,S005_P0011,248,20
2022-01-06,S005_P0012,385,24
2022-01-06,S005_P0013,395,146
2022-01-06,S005_P0014,134,165
2022-01-06,S005_P0015,185,89
2022-01-06,S005_P0016,223,186
2022-01-06,S005_P0017,495,161
2022-01-06,S005_P0018,200,71
2022-01-06,S005_P0019,244,129
2022-01-06,S005_P0020,74,82
2022-01-07,S001_P0001,195,106
2022-01-07,S001_P0002,255,66
2022-01-07,S001_P0003,487,157
2022-01-07,S001_P0004,339,183
2022-01-07,S001_P0005,120,170
2022-01-07,S001_P0006,399,36
2022-01-07,S001_P0007,461,25
2022-01-07,S001_P0008,193,191
2022-01-07,S001_P0009,402,126
2022-01-07,S001_P0010,438,139
2022-01-07,S001_P0011,275,117
2022-01-07,S001_P0012,446,109
2022-01-07,S001_P0013,137,122
2022-01-07,S001_P0014,189,86
2022-01-07,S001_P0015,311,165
2022-01-07,S001_P0016,178,36
2022-01-07,S001_P0017,299,185
2022-01-07,S001_P0018,109,188
2022-01-07,S001_P0019,159,29
2022-01-07,S001_P0020,402,167
2022-01-07,S002_P0001,394,68
2022-01-07,S002_P0002,461,188
2022-01-07,S002_P0003,85,59
2022-01-07,S002_P0004,301,124
2022-01-07,S002_P0005,183,49
2022-01-07,S002_P0006,429,41
2022-01-07,S002_P0007,263,178
2022-01-07,S002_P0008,74,129
2022-01-07,S002_P0009,332,101
2022-01-07,S002_P0010,218,156
2022-01-07,S002_P0011,272,143
2022-01-07,S002_P0012,365,176
2022-01-07,S002_P0013,176,124
2022-01-07,S002_P0014,357,76
2022-01-07,S002_P0015,288,174
2022-01-07,S002_P0016,212,128
2022-01-07,S002_P0017,103,157
2022-01-07,S002_P0018,222,160
2022-01-07,S002_P0019,144,148
2022-01-07,S002_P0020,90,103
2022-01-07,S003_P0001,388,187
2022-01-07,S003_P0002,427,148
2022-01-07,S003_P0003,92,87
2022-01-07,S003_P0004,121,198
2022-01-07,S003_P0005,340,113
2022-01-07,S003_P0006,187,161
2022-01-07,S003_P0007,177,169
2022-01-07,S003_P0008,172,176
2022-01-07,S003_P0009,113,72
2022-01-07,S003_P0010,74,35
2022-01-07,S003_P0011,391,37
2022-01-07,S003_P0012,158,197
2022-01-07,S003_P0013,244,158
2022-01-07,S003_P0014,135,72
2022-01-07,S003_P0015,270,71
2022-01-07,S003_P0016,240,189
2022-01-07,S003_P0017,437,109
2022-01-07,S003_P0018,394,35
2022-01-07,S003_P0019,317,154
2022-01-07,S003_P0020,268,98
2022-01-07,S004_P0001,164,190
2022-01-07,S004_P0002,61,172
2022-01-07,S004_P0003,81,166
2022-01-07,S004_P0004,146,157
2022-01-07,S004_P0005,117,107
2022-01-07,S004_P0006,453,61
2022-01-07,S004_P0007,182,194
2022-01-07,S004_P0008,231,186
2022-01-07,S004_P0009,442,97
2022-01-07,S004_P0010,126,87
2022-01-07,S004_P0011,88,106
2022-01-07,S004_P0012,113,133
2022-01-07,S004_P0013,371,58
2022-01-07,S004_P0014,242,75
2022-01-07,S004_P0015,495,58
2022-01-07,S004_P0016,323,173
2022-01-07,S004_P0017,53,84
2022-01-07,S004_P0018,94,132
2022-01-07,S004_P0019,183,112
2022-01-07,S004_P0020,296,123
2022-01-07,S005_P0001,227,77
2022-01-07,S005_P0002,406,38
2022-01-07,S005_P0003,342,26
2022-01-07,S005_P0004,125,149
2022-01-07,S005_P0005,140,130
2022-01-07,S005_P0006,370,135
2022-01-07,S005_P0007,441,68
2022-01-07,S005_P0008,498,125
2022-01-07,S005_P0009,213,122
2022-01-07,S005_P0010,260,151
2022-01-07,S005_P0011,453,31
2022-01-07,S005_P0012,454,35
2022-01-07,S005_P0013,129,177
2022-01-07,S005_P0014,272,134
2022-01-07,S005_P0015,206,141
2022-01-07,S005_P0016,170,168
2022-01-07,S005_P0017,453,65
2022-01-07,S005_P0018,159,41
2022-01-07,S005_P0019,60,155
2022-01-07,S005_P0020,248,28
2022-01-08,S001_P0001,231,119
2022-01-08,S001_P0002,55,34
2022-01-08,S001_P0003,338,90
2022-01-08,S001_P0004,420,141
2022-01-08,S001_P0005,355,177
2022-01-08,S001_P0006,104,26
2022-01-08,S001_P0007,264,145
2022-01-08,S001_P0008,215,97
2022-01-08,S001_P0009,375,64
2022-01-08,S001_P0010,253,45
2022-01-08,S001_P0011,357,117
2022-01-08,S001_P0012,264,71
2022-01-08,S001_P0013,332,66
2022-01-08,S001_P0014,290,158
2022-01-08,S001_P0015,368,66
2022-01-08,S001_P0016,361,99
2022-01-08,S001_P0017,467,106
2022-01-08,S001_P0018,296,71
2022-01-08,S001_P0019,440,69
2022-01-08,S001_P0020,348,126
2022-01-08,S002_P0001,349,198
2022-01-08,S002_P0002,384,71
2022-01-08,S002_P0003,369,132
2022-01-08,S002_P0004,414,93
2022-01-08,S002_P0005,314,130
2022-01-08,S002_P0006,300,149
2022-01-08,S002_P0007,208,172
2022-01-08,S002_P0008,405,65
2022-01-08,S002_P0009,371,113
2022-01-08,S002_P0010,57,71
2022-01-08,S002_P0011,64,79
2022-01-08,S002_P0012,294,186
2022-01-08,S002_P0013,348,70
2022-01-08,S002_P0014,210,85
2022-01-08,S002_P0015,339,147
2022-01-08,S002_P0016,125,24
2022-01-08,S002_P0017,160,56
2022-01-08,S002_P0018,471,36
2022-01-08,S002_P0019,411,72
2022-01-08,S002_P0020,314,67
2022-01-08,S003_P0001,370,56
2022-01-08,S003_P0002,327,31
2022-01-08,S003_P0003,216,44
2022-01-08,S003_P0004,435,26
2022-01-08,S003_P0005,477,67
2022-01-08,S003_P0006,363,163
2022-01-08,S003_P0007,418,30
2022-01-08,S003_P0008,496,56
2022-01-08,S003_P0009,176,21
2022-01-08,S003_P0010,84,63
2022-01-08,S003_P0011,482,68
2022-01-08,S003_P0012,55,46
2022-01-08,S003_P0013,303,29
2022-01-08,S003_P0014,364,28
2022-01-08,S003_P0015,233,145
2022-01-08,S003_P0016,81,69
2022-01-08,S003_P0017,93,46
2022-01-08,S003_P0018,117,159
2022-01-08,S003_P0019,109,132
2022-01-08,S003_P0020,156,47
2022-01-08,S004_P0001,62,131
2022-01-08,S004_P0002,74,48
2022-01-08,S004_P0003,280,21
2022-01-08,S004_P0004,470,191
2022-01-08,S004_P0005,183,90
2022-01-08,S004_P0006,109,58
2022-01-08,S004_P0007,152,105
2022-01-08,S004_P0008,203,51
2022-01-08,S004_P0009,102,177
2022-01-08,S004_P0010,393,187
2022-01-08,S004_P0011,317,48
2022-01-08,S004_P0012,163,194
2022-01-08,S004_P0013,386,162
2022-01-08,S004_P0014,311,168
2022-01-08,S004_P0015,338,145
